audit_id,standard,clause,annex,page,table_number,table_title,topic,normative_status,planned_module,implementation_status,test_status,comments
SP16-TBL-Г-7,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,149,Г.7,Расчетные сопротивления растяжению фундаментных болтов,annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Г-8,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,149,Г.8,Исключенная таблица Г.8; номер сохранен для трассируемости,annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,no_code_explanatory,inventory_tested,"Excluded in the supplied edition (Исключена, Изм. N 2); retained to preserve table-number continuity."
SP16-TBL-Г-9,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,149,Г.9,Площади сечения болтов,annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Д-1,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,Д,150,Д.1,Коэффициенты устойчивости при центральном сжатии,annex Д reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/axial_members.py,implemented_as_data,all_cells_formula_consistency_exact_lookup_and_no_interpolation_tests_passed,All printed values visually extracted from PDF pages 150-151 as integers scaled by 1000. Exact-node lookup only.
SP16-TBL-Д-2,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,Д,151,Д.2,Коэффициенты влияния формы сечения,annex Д reference data,annex reference table; annex status not explicitly labelled in supplied PDF,data/annex_d_tables_d2_to_d6.json,implemented_as_data,passed: tests/test_beam_column_stability.py,Visually transcribed as audited JSON/formula metadata. Exact printed-node lookup is used where the standard states no interpolation rule; diagram classification remains explicit.
SP16-TBL-Д-3,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,Д,153,Д.3,Коэффициенты устойчивости,annex Д reference data,annex reference table; annex status not explicitly labelled in supplied PDF,data/annex_d_tables_d2_to_d6.json,implemented_as_data,passed: tests/test_beam_column_stability.py,Visually transcribed as audited JSON/formula metadata. Exact printed-node lookup is used where the standard states no interpolation rule; diagram classification remains explicit.
SP16-TBL-Д-4,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,Д,155,Д.4,Коэффициенты устойчивости,annex Д reference data,annex reference table; annex status not explicitly labelled in supplied PDF,data/annex_d_tables_d2_to_d6.json,implemented_as_data,passed: tests/test_beam_column_stability.py,Visually transcribed as audited JSON/formula metadata. Exact printed-node lookup is used where the standard states no interpolation rule; diagram classification remains explicit.
SP16-TBL-Д-5,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,Д,157,Д.5,Приведенные относительные эксцентриситеты,annex Д reference data,annex reference table; annex status not explicitly labelled in supplied PDF,data/annex_d_tables_d2_to_d6.json,implemented_as_data,passed: tests/test_beam_column_stability.py,Visually transcribed as audited JSON/formula metadata. Exact printed-node lookup is used where the standard states no interpolation rule; diagram classification remains explicit.
SP16-TBL-Д-6,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,Д,159,Д.6,Коэффициенты,annex Д reference data,annex reference table; annex status not explicitly labelled in supplied PDF,data/annex_d_tables_d2_to_d6.json,implemented_as_data,passed: tests/test_beam_column_stability.py,Visually transcribed as audited JSON/formula metadata. Exact printed-node lookup is used where the standard states no interpolation rule; diagram classification remains explicit.
SP16-TBL-Е-1,СП 16.13330.2017 «Стальные конструкции»,8.2.3; Приложение Е,Е,161-163,Е.1,"Коэффициенты c_x, c_y и n для расчета с учетом пластических деформаций",plastic bending coefficients,normative annex reference table,data/annex_e_table_e1_plastic_coefficients.json; standard_core/bending_members.py,implemented_as_data,existence_exact_lookup_interpolation_cap_footnote_and_value_consistency_tests_passed,"All section types, printed coefficient nodes, interpolation rule, coefficient cap, and n footnote transcribed from PDF pages 161-163; section-diagram classification remains explicit."
SP16-TBL-Е-2,СП 16.13330.2017 «Стальные конструкции»,Приложение Е,Е,163,Е.2,"Коэффициенты alpha_1, alpha_2, alpha_3 для расчета прямоугольных плит",base-plate bending coefficients,annex reference table; annex status not explicitly labelled in supplied PDF,data/annex_e_table_e2_base_plate_coefficients.json,implemented_as_data,passed: tests/test_base_plates_and_combined_force_strength.py,All printed nodes and terminal >2 columns were visually transcribed from page 163. No interpolation is applied because the standard gives no interpolation rule for Table E.2.
SP16-TBL-Ж-1,СП 16.13330.2017 «Стальные конструкции»,Приложение Ж,Ж,165,Ж.1,Коэффициент,annex Ж reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/annex_zh_tables.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-Ж-2,СП 16.13330.2017 «Стальные конструкции»,Приложение Ж,Ж,167,Ж.2,Коэффициент,annex Ж reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/annex_zh_tables.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-Ж-3,СП 16.13330.2017 «Стальные конструкции»,Приложение Ж,Ж,167,Ж.3,Коэффициент,annex Ж reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/annex_zh_tables.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-Ж-4,СП 16.13330.2017 «Стальные конструкции»,Приложение Ж,Ж,168,Ж.4,Коэффициент В,annex Ж reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/annex_zh_tables.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-Ж-5,СП 16.13330.2017 «Стальные конструкции»,Приложение Ж,Ж,169,Ж.5,Коэффициенты С и D,annex Ж reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/annex_zh_tables.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-И-1,СП 16.13330.2017 «Стальные конструкции»,Приложение И,И,172,И.1,Коэффициенты расчетной длины,annex И reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-И-2,СП 16.13330.2017 «Стальные конструкции»,Приложение И,И,172,И.2,Коэффициенты расчетной длины,annex И reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-И-3,СП 16.13330.2017 «Стальные конструкции»,Приложение И,И,173,И.3,Коэффициенты расчетной длины,annex И reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-И-4,СП 16.13330.2017 «Стальные конструкции»,Приложение И,И,174,И.4,Коэффициенты расчетной длины,annex И reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-И-5,СП 16.13330.2017 «Стальные конструкции»,Приложение И,И,175,И.5,Коэффициенты,annex И reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-К-1,СП 16.13330.2017 «Стальные конструкции»,Приложение К,К,177,К.1,Группы элементов и соединений при расчете на усталость,fatigue,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/fatigue_design.py,implemented_as_data,passed: tests/test_fatigue_design.py,Visually transcribed and stored in data/annex_k_table_k1_fatigue_groups.json; no unstated interpolation or geometry recognition.
