audit_id,standard,clause,annex,page,equation_number,topic,normative_status,short_description,input_variables,output_variables,units,time_basis,planned_module,planned_function,implementation_status,test_status,validation_status,comments
SP16-EQ-048,СП 16.13330.2017 «Стальные конструкции»,8.2.2,,28,48,bending member strength,normative calculation expression,Effective concentrated-load distribution length for Figure 6 cases a and b.,bearing_width_mm; flange_and_weld_or_fillet_height_mm,effective_length_mm,mm,not_applicable,standard_core/bending_members.py,effective_load_length_eq48,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-049,СП 16.13330.2017 «Стальные конструкции»,8.2.2,,28,49,bending member strength,normative calculation expression,Effective concentrated-load distribution length for the crane-wheel case in Figure 6 c.,distribution_coefficient_psi; flange_and_rail_inertia_mm4; web_thickness_mm,effective_length_mm,mm,not_applicable,standard_core/bending_members.py,effective_load_length_crane_eq49,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-050,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,29,50,bending member strength,normative calculation expression,Class-2/3 major-axis plastic bending strength utilization.,moment_x_n_mm; coefficient_c_x; shear_reduction_beta; minimum_net_section_modulus_x_mm3; design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,plastic_bending_utilization_eq50,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-051,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,29,51,bending member strength,normative calculation expression,Class-2/3 biaxial plastic bending strength utilization.,moment_x_n_mm; moment_y_n_mm; coefficient_c_x; coefficient_c_y; shear_reduction_beta; minimum_net_section_modulus_x_mm3; minimum_net_section_modulus_y_mm3; design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,plastic_biaxial_bending_utilization_eq51,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-052,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,29,52,bending member strength,normative calculation expression,Shear-dependent plastic resistance reduction factor beta.,shear_stress_x_n_mm2; design_shear_resistance_n_mm2; flange_to_web_area_ratio,dimensionless_factor,dimensionless,not_applicable,standard_core/bending_members.py,plastic_shear_reduction_factor_eq52,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-053,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,30,53,bending member strength,normative calculation expression,Constrained-torsion strength utilization for a symmetric I-section.,moment_x_n_mm; bimoment_n_mm2; coefficient_c_x; shear_reduction_beta; minimum_net_section_modulus_x_mm3; coefficient_c_omega; minimum_net_sectorial_section_modulus_mm4; design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,constrained_torsion_utilization_eq53,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-054,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,30,54,bending member strength,normative calculation expression,Support-section web shear utilization in the x direction.,shear_force_x_n; web_area_mm2; design_shear_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,support_shear_x_utilization_eq54,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-055,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,30,55,bending member strength,normative calculation expression,Support-section flange shear utilization in the y direction.,shear_force_y_n; one_flange_area_mm2; design_shear_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,support_shear_y_utilization_eq55,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-056,СП 16.13330.2017 «Стальные конструкции»,8.2.5,,30,56,bending member strength,normative calculation expression,Redistributed design moment from elastic and effective moments.,maximum_elastic_moment_n_mm; effective_moment_n_mm,design_moment_n_mm,N*mm,not_applicable,standard_core/bending_members.py,redistributed_design_moment_eq56,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-057,СП 16.13330.2017 «Стальные конструкции»,8.2.5,,31,57,bending member strength,normative calculation expression,Effective moment for an end span with a hinged end support.,end_span_simple_beam_moments_n_mm; distances_to_end_support_mm; end_span_length_mm,design_moment_n_mm,N*mm,not_applicable,standard_core/bending_members.py,effective_moment_hinged_end_eq57,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-058,СП 16.13330.2017 «Стальные конструкции»,8.2.5,,31,58,bending member strength,normative calculation expression,Effective moment for an intermediate span.,maximum_intermediate_simple_beam_moment_n_mm,design_moment_n_mm,N*mm,not_applicable,standard_core/bending_members.py,effective_moment_intermediate_span_eq58,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-059,СП 16.13330.2017 «Стальные конструкции»,8.2.8,,31,59,bending member strength,normative calculation expression,Bimetal major-axis bending strength utilization.,moment_x_n_mm; coefficient_c_xr; shear_reduction_beta_r; net_section_modulus_x_mm3; web_design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,bimetal_bending_utilization_eq59,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-060,СП 16.13330.2017 «Стальные конструкции»,8.2.8,,32,60,bending member strength,normative calculation expression,Bimetal biaxial bending strength utilization.,moment_x_n_mm; moment_y_n_mm; coefficient_c_xr; coefficient_c_yr; shear_reduction_beta_r; net_section_modulus_x_mm3; net_section_modulus_y_mm3; web_design_yield_resistance_n_mm2; flange_design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,bimetal_biaxial_bending_utilization_eq60,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-061,СП 16.13330.2017 «Стальные конструкции»,8.2.8,,32,61,bending member strength,normative calculation expression,Bimetal major-axis coefficient c_xr.,legacy_flange_reference_coefficient_c_xf_ignored; flange_to_web_area_ratio; flange_to_web_yield_resistance_ratio,dimensionless_factor,dimensionless,not_applicable,standard_core/bending_members.py,bimetal_major_axis_coefficient_eq61,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-062,СП 16.13330.2017 «Стальные конструкции»,8.2.8,,32,62,bending member strength,normative calculation expression,Bimetal shear-dependent reduction factor beta_r.,shear_stress_x_n_mm2; web_design_shear_resistance_n_mm2; flange_to_web_area_ratio; flange_to_web_yield_resistance_ratio,dimensionless_factor,dimensionless,not_applicable,standard_core/bending_members.py,bimetal_shear_reduction_factor_eq62,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-063,СП 16.13330.2017 «Стальные конструкции»,8.3.3,,32,63,members in bending,normative calculation expression,Crane-runway web equivalent-stress interaction.,see structured public API docstring,crane_runway_equivalent_stress_utilization_eq63,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,crane_runway_equivalent_stress_utilization_eq63,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-064,СП 16.13330.2017 «Стальные конструкции»,8.3.3,,32,64,members in bending,normative calculation expression,Crane-runway web longitudinal normal-stress check.,see structured public API docstring,crane_runway_longitudinal_normal_utilization_eq64,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,crane_runway_longitudinal_normal_utilization_eq64,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-065,СП 16.13330.2017 «Стальные конструкции»,8.3.3,,32,65,members in bending,normative calculation expression,Crane-runway web transverse local normal-stress check.,see structured public API docstring,crane_runway_transverse_normal_utilization_eq65,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,crane_runway_transverse_normal_utilization_eq65,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-066,СП 16.13330.2017 «Стальные конструкции»,8.3.3,,32,66,members in bending,normative calculation expression,Crane-runway web combined shear-stress check.,see structured public API docstring,crane_runway_shear_utilization_eq66,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,crane_runway_shear_utilization_eq66,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-067,СП 16.13330.2017 «Стальные конструкции»,8.3.3,,33,67,members in bending,normative calculation expression,Crane-runway web stress-component definitions.,see structured public API docstring,crane_runway_stress_components_eq67,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,crane_runway_stress_components_eq67,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 33; implemented in v0.7.
SP16-EQ-068,СП 16.13330.2017 «Стальные конструкции»,8.3.3,,33,68,members in bending,normative calculation expression,Local torsional moment from wheel eccentricity and transverse load.,see structured public API docstring,crane_runway_local_torsional_moment_eq68,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,crane_runway_local_torsional_moment_eq68,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 33; implemented in v0.7.
SP16-EQ-069,СП 16.13330.2017 «Стальные конструкции»,8.4.1,,34,69,members in bending,normative calculation expression,Lateral-torsional stability under one-plane bending.,see structured public API docstring,lateral_torsional_stability_utilization_eq69,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,lateral_torsional_stability_utilization_eq69,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 34; implemented in v0.7.
SP16-EQ-070,СП 16.13330.2017 «Стальные конструкции»,8.4.1,,34,70,members in bending,normative calculation expression,Combined lateral-torsional stability with biaxial bending and bimoment.,see structured public API docstring,lateral_torsional_combined_utilization_eq70,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,lateral_torsional_combined_utilization_eq70,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 34; implemented in v0.7.
SP16-EQ-071,СП 16.13330.2017 «Стальные конструкции»,8.4.4,,35,71,members in bending,normative calculation expression,Table 11 limiting flange slenderness for upper-flange loading.,see structured public API docstring,table_11_limit_eq71,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,table_11_limit_eq71,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-072,СП 16.13330.2017 «Стальные конструкции»,8.4.4,,35,72,members in bending,normative calculation expression,Table 11 limiting flange slenderness for lower-flange loading.,see structured public API docstring,table_11_limit_eq72,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,table_11_limit_eq72,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-073,СП 16.13330.2017 «Стальные конструкции»,8.4.4,,35,73,members in bending,normative calculation expression,Table 11 limiting flange slenderness between braces or under pure bending.,see structured public API docstring,table_11_limit_eq73,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,table_11_limit_eq73,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-074,СП 16.13330.2017 «Стальные конструкции»,8.4.5,,35,74,members in bending,normative calculation expression,Equivalent compressed-flange axial force for restraint design.,see structured public API docstring,compressed_flange_equivalent_force_eq74,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,compressed_flange_equivalent_force_eq74,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-075,СП 16.13330.2017 «Стальные конструкции»,8.4.5,,36,75,members in bending,normative calculation expression,Continuous-restraint fictitious force per unit length.,see structured public API docstring,continuous_bracing_force_per_length_eq75,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,continuous_bracing_force_per_length_eq75,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-076,СП 16.13330.2017 «Стальные конструкции»,8.4.6,,36,76,members in bending,normative calculation expression,Class-2/3 Table 11 reduction multiplier.,see structured public API docstring,class_2_3_stability_reduction_eq76,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,class_2_3_stability_reduction_eq76,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-077,СП 16.13330.2017 «Стальные конструкции»,8.4.6,,36,77,members in bending,normative calculation expression,Class-2/3 coefficient c1x from moment and shear-reduced plastic coefficient.,see structured public API docstring,class_2_3_coefficient_eq77,"explicit N, mm, N/mm2, or dimensionless per function name",not_applicable,standard_core/crane_runway_and_bending_stability.py,class_2_3_coefficient_eq77,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-078,СП 16.13330.2017 «Стальные конструкции»,8.5.2,,37,78,members in bending,normative calculation expression,Implemented scalar calculation for equation (78) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,bending_normal_stress_eq78,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-078,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-079,СП 16.13330.2017 «Стальные конструкции»,8.5.2,,37,79,members in bending,normative calculation expression,Implemented scalar calculation for equation (79) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,average_web_shear_stress_eq79,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-079,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-080,СП 16.13330.2017 «Стальные конструкции»,8.5.3,,37,80,members in bending,normative calculation expression,Implemented scalar calculation for equation (80) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,symmetric_web_buckling_utilization_eq80,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-080,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-081,СП 16.13330.2017 «Стальные конструкции»,8.5.3,,37,81,members in bending,normative calculation expression,Implemented scalar calculation for equation (81) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,critical_normal_web_stress_eq81,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-081,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-082,СП 16.13330.2017 «Стальные конструкции»,8.5.3,,37,82,members in bending,normative calculation expression,Implemented scalar calculation for equation (82) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,critical_local_web_stress_eq82,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-082,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-083,СП 16.13330.2017 «Стальные конструкции»,8.5.3,,38,83,members in bending,normative calculation expression,Implemented scalar calculation for equation (83) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,critical_web_shear_stress_eq83,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-083,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-084,СП 16.13330.2017 «Стальные конструкции»,8.5.4,,38,84,members in bending,normative calculation expression,Implemented scalar calculation for equation (84) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,flange_restraint_parameter_eq84,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-084,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-085,СП 16.13330.2017 «Стальные конструкции»,8.5.7,,40,85,members in bending,normative calculation expression,Implemented scalar calculation for equation (85) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,asymmetric_tension_flange_web_utilization_eq85,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-085,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-086,СП 16.13330.2017 «Стальные конструкции»,8.5.8,,41,86,members in bending,normative calculation expression,Implemented scalar calculation for equation (86) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,class_2_3_symmetric_web_utilization_eq86,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-086,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-087,СП 16.13330.2017 «Стальные конструкции»,8.5.8,,41,87,members in bending,normative calculation expression,Implemented scalar calculation for equation (87) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,class_2_3_asymmetric_web_utilization_eq87,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-087,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-088,СП 16.13330.2017 «Стальные конструкции»,8.5.8,,41,88,members in bending,normative calculation expression,Implemented scalar calculation for equation (88) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,compressed_web_zone_height_eq88,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-088,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-089,СП 16.13330.2017 «Стальные конструкции»,8.5.12,,43,89,members in bending,normative calculation expression,Implemented scalar calculation for equation (89) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,upper_plate_utilization_eq89,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-089,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-090,СП 16.13330.2017 «Стальные конструкции»,8.5.12,,43,90,members in bending,normative calculation expression,Implemented scalar calculation for equation (90) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,upper_plate_critical_normal_no_local_eq90,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-090,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-091,СП 16.13330.2017 «Стальные конструкции»,8.5.12,,43,91,members in bending,normative calculation expression,Implemented scalar calculation for equation (91) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,upper_plate_critical_normal_with_local_eq91,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-091,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-092,СП 16.13330.2017 «Стальные конструкции»,8.5.12,,43,92,members in bending,normative calculation expression,Implemented scalar calculation for equation (92) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,upper_plate_critical_local_eq92,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-092,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-093,СП 16.13330.2017 «Стальные конструкции»,8.5.12,,43,93,members in bending,normative calculation expression,Implemented scalar calculation for equation (93) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,upper_plate_psi_and_slenderness_eq93,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-093,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-094,СП 16.13330.2017 «Стальные конструкции»,8.5.12,,44,94,members in bending,normative calculation expression,Implemented scalar calculation for equation (94) in clauses 8.5.2-8.5.19; visually verified against the supplied PDF.,explicit unit-suffixed engineering inputs; see structured function docstring,"stress, coefficient, slenderness, height, or utilization as defined by the equation","N, mm, N/mm2, and dimensionless as identified in function arguments",not_applicable,standard_core/bending_member_local_stability.py,lower_plate_utilization_eq94,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-094,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
