audit_id,standard,clause,page,short_description,planned_module,planned_function,implementation_status,test_status,validation_status,comments
SP16-PROC-TABLE-12-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.5.4,38,Exact-node lookup for Table 12 coefficient Ccr.,standard_core/crane_runway_and_bending_stability.py,table_12_c_cr_coefficient,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-TABLE-13-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.5.4,38,Lookup for Table 13 coefficient beta.,standard_core/crane_runway_and_bending_stability.py,table_13_beta,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-INTERPOLATION,СП 16.13330.2017 «Стальные конструкции»,Ж.6,169,Linearly interpolate psi_a between n=0.9 I-section and n=1.0 T-section endpoint values.,standard_core/crane_runway_and_bending_stability.py,annex_zh_interpolate_psi_a_for_n,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented exactly over 0.9<=n<=1.0; endpoint values remain explicit audited inputs.
SP16-PROC-ANNEX-ZH-T-SECTION-MODIFIER,СП 16.13330.2017 «Стальные конструкции»,Ж.6,169,Apply the low-alpha T-section multiplier for point or uniformly distributed loading.,standard_core/crane_runway_and_bending_stability.py,apply_t_section_low_alpha_modifier,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Strict alpha<40 condition and listed load cases are enforced.
SP16-PROC-8.4.3-CRANE-STABILITY-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.4.3,34,Apply equation (70) using the horizontal moment and minor-axis section modulus of the upper flange.,standard_core/crane_runway_and_bending_stability.py,crane_runway_lateral_torsional_stability_utilization,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Upper-flange substitutions are explicit in the wrapper API.
SP16-PROC-8.5.1-PRELIMINARY-WEB-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.5.1,36-37,Preliminary class-1 web slenderness threshold routing,standard_core/bending_member_local_stability.py,preliminary_web_check_exemption_8_5_1,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.5-DOUBLE-CHECK-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.5.5,39-40,Routing for one or two equation (80) checks according to panel aspect ratio and local stress,standard_core/bending_member_local_stability.py,panel_check_routing_8_5_5,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.6-ASYMMETRIC-COMPRESSED-FLANGE-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.5.6,40,Use twice the compressed-zone height for specified asymmetric-section checks,standard_core/bending_member_local_stability.py,asymmetric_compressed_flange_substitution_8_5_6,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.9-TRANSVERSE-STIFFENER-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.5.9,42,Transverse stiffener requirement and maximum spacing,standard_core/bending_member_local_stability.py,transverse_stiffener_requirements_8_5_9,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.9-TRANSVERSE-STIFFENER-DIMENSIONS,СП 16.13330.2017 «Стальные конструкции»,8.5.9,42,Minimum transverse stiffener projection and thickness,standard_core/bending_member_local_stability.py,transverse_stiffener_dimensions_8_5_9,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.10-LOAD-STIFFENER-SECTION,СП 16.13330.2017 «Стальные конструкции»,8.5.10,42,Effective section and stability model for concentrated-load stiffener,standard_core/bending_member_local_stability.py,concentrated_load_stiffener_effective_section_8_5_10,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.11-LONGITUDINAL-STIFFENER-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.5.11,42,Longitudinal stiffener requirement,standard_core/bending_member_local_stability.py,longitudinal_stiffener_required_8_5_11,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.12-SPLIT-WEB-PLATES,СП 16.13330.2017 «Стальные конструкции»,8.5.12,43-44,Separate checks for plates above and below longitudinal stiffener,standard_core/bending_member_local_stability.py,upper_plate_utilization_eq89,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.13-INTERMEDIATE-STIFFENERS,СП 16.13330.2017 «Стальные конструкции»,8.5.13,44,Replace panel length by intermediate-stiffener spacing for plate 1,standard_core/bending_member_local_stability.py,intermediate_stiffener_panel_length_8_5_13,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.14-ASYMMETRIC-SPLIT-WEB,СП 16.13330.2017 «Стальные конструкции»,8.5.14,45,Asymmetric split-web substitutions,standard_core/bending_member_local_stability.py,lower_plate_utilization_eq94,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.15-STIFFENER-INERTIA,СП 16.13330.2017 «Стальные конструкции»,8.5.15,45,Required transverse and longitudinal stiffener inertias,standard_core/bending_member_local_stability.py,table_19_stiffener_inertias,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.16-FLEXIBLE-WEB-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.5.16,45,Route to external class-2 flexible-web design rules,standard_core/bending_member_local_stability.py,flexible_web_route_8_5_16,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.17-SUPPORT-STIFFENER,СП 16.13330.2017 «Стальные конструкции»,8.5.17,45-46,Support stiffener effective section and geometry,standard_core/bending_member_local_stability.py,support_stiffener_effective_section_8_5_17,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.5.20-EDGE-STIFFENING-MODIFIER,СП 16.13330.2017 «Стальные конструкции»,8.5.20,47,Eligibility and 1.5 multiplier for edge-stiffened flange outstand,standard_core/bending_member_local_stability.py,edge_stiffened_flange_limit_8_5_20,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-TABLE-14-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.5.5,39,Exact-node lookup for Table 14 c1,standard_core/bending_member_local_stability.py,table_14_c1,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-TABLE-15-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.5.5,39,Exact-node lookup for Table 15 c2,standard_core/bending_member_local_stability.py,table_15_c2,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-TABLE-16-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.5.5,40,Table 16 c_cr routing,standard_core/bending_member_local_stability.py,table_16_c_cr,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-TABLE-17-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.5.7,41,Exact-node lookup for Table 17 c_cr,standard_core/bending_member_local_stability.py,table_17_c_cr,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-TABLE-18-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.5.8,41,Exact-node lookup for Table 18 alpha,standard_core/bending_member_local_stability.py,table_18_alpha,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-TABLE-19-INTERPOLATION,СП 16.13330.2017 «Стальные конструкции»,8.5.15,45,Table 19 formulas and stated interpolation,standard_core/bending_member_local_stability.py,table_19_stiffener_inertias,implemented,tests/test_bending_member_local_stability.py,implementation_self_check,"Implemented and traced in v0.8; geometry, stress extraction, and diagram classification remain explicit engineering inputs where applicable."
SP16-PROC-8.6.1-FOUNDATION-AREA-BOUNDARY,СП 16.13330.2017 «Стальные конструкции»,8.6.1,47,Base-plate area foundation-strength boundary,standard_core/base_plates_and_combined_force_strength.py,base_plate_foundation_area_boundary,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,External foundation resistance remains an explicit confirmed boundary; no concrete/foundation model is invented.
SP16-PROC-8.6.2-TABLE-E2-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,8.6.2,"47, 163",Exact-node Table E.2 lookup,standard_core/base_plates_and_combined_force_strength.py,annex_e2_base_plate_coefficients,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,Exact printed nodes and terminal >2 column only; no interpolation rule is invented.
SP16-PROC-8.6.2-MAXIMUM-PLATE-MOMENT,СП 16.13330.2017 «Стальные конструкции»,8.6.2,47,Selection of governing unit-width plate moment,standard_core/base_plates_and_combined_force_strength.py,base_plate_maximum_unit_width_moment,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,All relevant plate regions must be supplied explicitly.
SP16-PROC-8.6.2-TWO-SIDE-GEOMETRY,СП 16.13330.2017 «Стальные конструкции»,8.6.2,"47, 163",Two-adjacent-side rectangle geometry for equation (104),standard_core/base_plates_and_combined_force_strength.py,base_plate_two_adjacent_sides_geometry,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,Derives diagonal d1 and perpendicular distance a1 for a rectangular region.
SP16-PROC-9.1.1-EQ105-APPLICABILITY,СП 16.13330.2017 «Стальные конструкции»,9.1.1,47-48,Equation (105) applicability routing,standard_core/base_plates_and_combined_force_strength.py,equation_105_applicability,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,"Preserves Ryn, dynamic-load, shear-stress, axial-stress, and linked local-stability conditions."
SP16-PROC-9.1.1-ANNEX-E1-COEFFICIENTS,СП 16.13330.2017 «Стальные конструкции»,9.1.1,"48, 161-163",Table E.1 coefficient routing for equation (105),standard_core/base_plates_and_combined_force_strength.py,combined_force_coefficients_from_annex_e1,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,Delegates to the previously audited Table E.1 implementation.
SP16-PROC-9.1.2-EQ105-OMISSION,СП 16.13330.2017 «Стальные конструкции»,9.1.2,48,Equation (105) omission rule,standard_core/base_plates_and_combined_force_strength.py,equation_105_omission_rule_clause_9_1_2,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,"Implements the printed m_eff <= 20, unweakened-section, equal-moment conditions."
SP16-PROC-9.1.3-EQ107-APPLICABILITY,СП 16.13330.2017 «Стальные конструкции»,9.1.3,48,Equation (107) high-strength asymmetric-section applicability,standard_core/base_plates_and_combined_force_strength.py,equation_107_applicability,implemented,passed: tests/test_base_plates_and_combined_force_strength.py,implementation_self_check_passed,Section asymmetry remains an explicit engineering classification.
SP16-PROC-9.2.1-TWO-PLANE-STABILITY,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,stability_check_route_clause_9_2_1,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.2-D3-LOOKUP-AND-CAP,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d3_stability_coefficient,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.2-BENDING-ROUTE-MEFF-GT20,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,beam_column_section_9_2_route,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.3-SAME-LOAD-COMBINATION,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,beam_column_section_9_2_route,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.3-DESIGN-MOMENT-SELECTION,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,table_20_design_moment,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.3-TABLE-20-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,table_20_design_moment,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.3-TABLE-D5-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d5_effective_relative_eccentricity,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.5-TABLE-21-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,table_21_alpha,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.5-CMAX-CAP-AND-MINIMUM,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,out_of_plane_coefficient_c,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.6-DESIGN-MOMENT-SELECTION,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,design_moment_clause_9_2_6,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.7-CONTINUOUS-FLANGE-BRACING,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d_continuous_bracing_cmax_eq_d4,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.8-MINOR-AXIS-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,minor_axis_bending_route_clause_9_2_8,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.9-BIAXIAL-ADDITIONAL-CHECKS,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,biaxial_additional_checks_clause_9_2_9,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.9-NONSYMMETRIC-MX-INCREASE,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,adjusted_relative_eccentricity_x_clause_9_2_9,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.2.10-BOX-MAJOR-AXIS-SUBSTITUTION,СП 16.13330.2017 «Стальные конструкции»,9.2,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,box_major_axis_phi_clause_9_2_10,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-ANNEX-D2-SHAPE-COEFFICIENT,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d2_shape_influence_coefficient,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-ANNEX-D3-EXACT-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d3_table_coefficient,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-ANNEX-D4-EXACT-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d4_table_coefficient,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-ANNEX-D5-EXACT-LOOKUP,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d5_effective_relative_eccentricity,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-ANNEX-D6-SECTION-PARAMETERS,СП 16.13330.2017 «Стальные конструкции»,Приложение Д,"48-53, 151-160",Audited Section 9.2 / Annex D routing or table procedure.,standard_core/beam_column_stability.py,annex_d6_section_parameters,implemented,passed: tests/test_beam_column_stability.py,implementation_self_check_passed,Explicit procedure; global analysis and diagram/section classification remain external.
SP16-PROC-9.3.1-WHOLE-AND-BRANCH-CHECKS,СП 16.13330.2017 «Стальные конструкции»,9.3,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.3.2-D4-LOOKUP-AND-BENDING-ROUTE,СП 16.13330.2017 «Стальные конструкции»,9.3,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.3.3-BRANCH-ADDITIONAL-FORCES,СП 16.13330.2017 «Стальные конструкции»,9.3,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.3.4-BATTEN-BRANCH-LOCAL-BENDING,СП 16.13330.2017 «Стальные конструкции»,9.3,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.3.5-THREE-SIDED-SECTION-16-ROUTE,СП 16.13330.2017 «Стальные конструкции»,9.3,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.3.6-TWO-SOLID-BRANCH-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.3,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.3.7-CONNECTOR-SHEAR-GOVERNING,СП 16.13330.2017 «Стальные конструкции»,9.3,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.1-GEOMETRY-REFERENCE,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.2-TABLE-22-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.2-TYPE-1-M-INTERPOLATION,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.2-TYPE-2-ALPHA-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.3-AXIAL-RATIO-ADJUSTMENT,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.4-TRANSVERSE-STIFFENER-ROUTE,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.5-LONGITUDINAL-STIFFENER-ROUTE,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.6-REDUCED-AREA-ROUTE,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.7-TABLE-23-ROUTING,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.7-M-INTERPOLATION,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
SP16-PROC-9.4.8-EDGE-RETURN-MULTIPLIER,СП 16.13330.2017 «Стальные конструкции»,9.4,53-58,"Audited routing, interpolation, stiffener, branch-force, or local-stability procedure for Sections 9.3-9.4.",standard_core/built_up_beam_columns_and_combined_local_stability.py,see module public API and implementation map,implemented,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,implementation_self_check_passed,"Explicit procedure; global analysis, automatic geometry classification, and Section 16 remain external."
