clause_id,standard,clause,annex,page_start,page_end,title,normative_status,contains_equations,contains_tables,contains_validation_example,implementation_relevance,comments
8.5.11,СП 16.13330.2017 «Стальные конструкции»,8.5.11,,42,42,"Стенки балок 1-го класса, у которых при действии нормальных напряжений обеспечена, а также при значениях условной гибкости стенки",normative,no,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.12,СП 16.13330.2017 «Стальные конструкции»,8.5.12,,42,44,"В стенке балки симметричного двутаврового сечения 1-го класса, укрепленной, кроме поперечных ребер, одной",normative,yes,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.13,СП 16.13330.2017 «Стальные конструкции»,8.5.13,,44,45,"Промежуточные ребра, расположенные на пластинке 1 между сжатым поясом и продольным ребром, следует",normative,no,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.14,СП 16.13330.2017 «Стальные конструкции»,8.5.14,,45,45,"Проверку устойчивости стенок балок асимметричного сечения (с более развитым сжатым поясом) укрепленных поперечными ребрами и парным продольным ребром, расположенным в сжатой зоне,…",normative,no,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.15,СП 16.13330.2017 «Стальные конструкции»,8.5.15,,45,45,При укреплении стенки поперечными ребрами и парным продольным ребром жесткости места расположения и,normative,no,yes,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.16,СП 16.13330.2017 «Стальные конструкции»,8.5.16,,45,45,При значениях условной гибкости стенки проектируют как балки 2-го класса с гибкими (неустойчивыми) стенками согласно правилам проектирования стальных конструкций,normative,no,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.17,СП 16.13330.2017 «Стальные конструкции»,8.5.17,,45,46,Участок стенки балки над опорой следует рассчитывать на устойчивость при центральном сжатии из плоскости,normative,no,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.18,СП 16.13330.2017 «Стальные конструкции»,8.5.18,,46,46,"Устойчивость сжатых поясов следует считать обеспеченной, если условная гибкость свеса пояса при выполнении требований 7.3.7, 8.2.1 и 8.2.8 не превышает предельных значений",normative,yes,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.19,СП 16.13330.2017 «Стальные конструкции»,8.5.19,,46,47,"Устойчивость сжатых поясов следует считать обеспеченной, если условная гибкость свеса сжатого пояса или",normative,yes,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.5.20,СП 16.13330.2017 «Стальные конструкции»,8.5.20,,47,47,"В случае окаймления или отгиба полки (стенки) сечения (рисунок 5), размером",normative,no,no,no,implemented_in_v0.8_selected_scope,"Equations, tables, and scalar/routing procedures in clauses 8.5.1-8.5.20 are implemented and traced; global analysis, geometry classification, and external flexible-web rules remain outside this release."
8.6,СП 16.13330.2017 «Стальные конструкции»,8.6,,47,47,Расчет опорных плит,normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
8.6.1,СП 16.13330.2017 «Стальные конструкции»,8.6.1,,47,47,Площадь стальной опорной плиты должна удовлетворять требованиям расчета на прочность фундамента,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
8.6.2,СП 16.13330.2017 «Стальные конструкции»,8.6.2,,47,47,Толщину опорной плиты следует определять расчетом на изгиб пластинки по формуле,normative,yes,yes,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9,СП 16.13330.2017 «Стальные конструкции»,9,,47,58,Расчет элементов стальных конструкций при действии продольной силы с изгибом,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.1,СП 16.13330.2017 «Стальные конструкции»,9.1,,47,48,Расчет на прочность элементов сплошного сечения,normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.1.1,СП 16.13330.2017 «Стальные конструкции»,9.1.1,,47,48,Расчет на прочность внецентренно сжатых (сжато-изгибаемых) и внецентренно растянутых (растянуто-,normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.1.2,СП 16.13330.2017 «Стальные конструкции»,9.1.2,,48,48,Расчет на прочность внецентренно сжатых (сжато-изгибаемых) элементов по формуле (105) выполнять не,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.1.3,СП 16.13330.2017 «Стальные конструкции»,9.1.3,,48,48,"Внецентренно сжатые (сжато-изгибаемые) элементы из стали с нормативным сопротивлением с несимметричными сечениями относительно оси, перпендикулярной к плоскости изгиба (например,…",normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.2,СП 16.13330.2017 «Стальные конструкции»,9.2,,48,53,Расчет на устойчивость элементов сплошного сечения,normative,no,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.1,СП 16.13330.2017 «Стальные конструкции»,9.2.1,,48,48,Расчет на устойчивость внецентренно сжатых (сжато-изгибаемых) элементов при действии момента в одной из,normative,no,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.2,СП 16.13330.2017 «Стальные конструкции»,9.2.2,,48,49,Расчет на устойчивость внецентренно сжатых (сжато-изгибаемых) элементов постоянного сечения (колонн,normative,yes,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.3,СП 16.13330.2017 «Стальные конструкции»,9.2.3,,49,50,Расчетные значения продольной силы N и изгибающего момента М в элементе следует принимать для одного и,normative,no,yes,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.4,СП 16.13330.2017 «Стальные конструкции»,9.2.4,,50,50,Расчет на устойчивость внецентренно сжатых (сжато-изгибаемых) стержней сплошного постоянного сечения,normative,yes,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.5,СП 16.13330.2017 «Стальные конструкции»,9.2.5,,50,51,Коэффициент с в формуле (111) следует определять при значениях,normative,yes,yes,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.6,СП 16.13330.2017 «Стальные конструкции»,9.2.6,,51,51,При определении относительного эксцентриситета принимать,normative,no,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.7,СП 16.13330.2017 «Стальные конструкции»,9.2.7,,51,51,"Расчет на устойчивость внецентренно сжатых (сжато-изгибаемых) элементов двутаврового сечения, непрерывно",normative,no,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.8,СП 16.13330.2017 «Стальные конструкции»,9.2.8,,51,52,"Внецентренно сжатые (сжато-изгибаемые) элементы постоянного сечения, изгибаемые в плоскости наименьшей",normative,yes,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.9,СП 16.13330.2017 «Стальные конструкции»,9.2.9,,52,52,"Расчет на устойчивость стержней сплошного постоянного сечения (кроме коробчатого), подверженных сжатию и",normative,yes,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.2.10,СП 16.13330.2017 «Стальные конструкции»,9.2.10,,52,53,Расчет на устойчивость стержней сплошного постоянного коробчатого сечения при сжатии с изгибом в одной,normative,yes,no,no,calculation or executable procedure,"Implemented in v0.10 as audited scalar equations, exact table-node lookups, and explicit routing; global analysis and classification remain external."
9.3,СП 16.13330.2017 «Стальные конструкции»,9.3,,53,54,Расчет на устойчивость элементов сквозного сечения,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.3.1,СП 16.13330.2017 «Стальные конструкции»,9.3.1,,53,53,При проверке на устойчивость внецентренно сжатых (сжато-изгибаемых) стержней сквозного сечения с,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.3.2,СП 16.13330.2017 «Стальные конструкции»,9.3.2,,53,53,"При расчете стержня в целом относительно свободной оси (у-у) по формуле (109), когда планки и решетки",normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.3.3,СП 16.13330.2017 «Стальные конструкции»,9.3.3,,53,54,При расчете отдельных ветвей сквозных стержней с решетками по формуле (7) продольную силу в каждой ветви,normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.3.4,СП 16.13330.2017 «Стальные конструкции»,9.3.4,,54,54,При расчете отдельных ветвей сквозных стержней с планками в формуле (109) следует учитывать дополнительное усилие поясах безраскосной фермы),normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.3.5,СП 16.13330.2017 «Стальные конструкции»,9.3.5,,54,54,Расчет на устойчивость внецентренно сжатых (сжато-изгибаемых) трехгранных сквозных стержней с решетками,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.3.6,СП 16.13330.2017 «Стальные конструкции»,9.3.6,,54,54,"Расчет на устойчивость сквозных стержней из двух сплошностенчатых ветвей, симметричных относительно оси",normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.3.7,СП 16.13330.2017 «Стальные конструкции»,9.3.7,,54,54,Расчет соединительных планок или решеток сквозных внецентренно сжатых (сжато-изгибаемых) стержней,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4,СП 16.13330.2017 «Стальные конструкции»,9.4,,54,58,Проверка устойчивости стенок и поясов,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.1,СП 16.13330.2017 «Стальные конструкции»,9.4.1,,54,54,Расчетные размеры проверяемых на устойчивость стенок и поясных листов (полок) следует принимать согласно,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.2,СП 16.13330.2017 «Стальные конструкции»,9.4.2,,54,56,"Устойчивость стенок внецентренно сжатых (сжато-изгибаемых) элементов следует считать обеспеченной, если",normative,yes,yes,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.3,СП 16.13330.2017 «Стальные конструкции»,9.4.3,,56,56,"При выполнении условия формулам (125) и (126), увеличивают путем определения ее по формуле",normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.4,СП 16.13330.2017 «Стальные конструкции»,9.4.4,,56,56,Укреплять поперечными ребрами жесткости стенки внецентренно сжатых (сжато-изгибаемых) элементов,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.5,СП 16.13330.2017 «Стальные конструкции»,9.4.5,,56,56,При укреплении стенки внецентренно сжатого (сжато-изгибаемого) элемента продольным ребром жесткости (с,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.6,СП 16.13330.2017 «Стальные конструкции»,9.4.6,,56,56,"В случаях, когда фактическое значение условной гибкости стенки вычисленное для сечений типа 1 по формулам таблицы 22, а для сечений типов 2 и 3 с учетом примечания 2 таблицы 22 (п…",normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.7,СП 16.13330.2017 «Стальные конструкции»,9.4.7,,56,57,Устойчивость,normative,yes,yes,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.8,СП 16.13330.2017 «Стальные конструкции»,9.4.8,,57,57,"Для полок (стенок) с отгибами (см. рисунок 5), значения предельной условной гибкости определяемые по формулам таблицы 23, следует умножать на коэффициент 1,5",normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.9,СП 16.13330.2017 «Стальные конструкции»,9.4.9,,57,58,"В случае, если проверка по предельной гибкости в двух плоскостях (раздел 10.4) является определяющей при",normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
9.4.10,СП 16.13330.2017 «Стальные конструкции»,9.4.10,,58,58,Проверку местной устойчивости стенок и поясов внецентренно растянутых (растянуто-изгибаемых) элементов,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
10,СП 16.13330.2017 «Стальные конструкции»,10,,58,72,Расчетные длины и предельные гибкости элементов стальных конструкций,normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.1,СП 16.13330.2017 «Стальные конструкции»,10.1,,58,61,"Расчетные длины элементов плоских ферм, ветвей колонн и связей",normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.1.1,СП 16.13330.2017 «Стальные конструкции»,10.1.1,,58,58,"Расчетные длины сжатых элементов плоских ферм и связей в их плоскости а), б), в), г), за исключением элементов, указанных в 10.1.2 и 10.1.3, следует принимать по таблице 24",normative,no,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.1.2,СП 16.13330.2017 «Стальные конструкции»,10.1.2,,58,60,Расчетные длины сжимающими или растягивающими усилиями на участках (число участков равной длины,normative,yes,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.1.3,СП 16.13330.2017 «Стальные конструкции»,10.1.3,,60,61,"Расчетные длины скрепленных между собой (см. рисунок 13, д), следует принимать по таблице 25. Определять расчетные длины",normative,no,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.1.4,СП 16.13330.2017 «Стальные конструкции»,10.1.4,,61,61,Радиусы инерции i сечений элементов из одиночных уголков при определении гибкости следует принимать,normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.2,СП 16.13330.2017 «Стальные конструкции»,10.2,,61,65,"Расчетные длины элементов пространственных решетчатых конструкций, в том числе структурных",normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.2.1,СП 16.13330.2017 «Стальные конструкции»,10.2.1,,61,62,Расчетные длины геометрическая длина элемента - расстояние между центрами узлов структурных конструкций),normative,no,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.2.2,СП 16.13330.2017 «Стальные конструкции»,10.2.2,,62,62,Радиусы инерции сечений i элементов структурных конструкций при определении гибкости следует принимать,normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.2.3,СП 16.13330.2017 «Стальные конструкции»,10.2.3,,62,62,"Расчетные длины пространственных конструкций (рисунок 15) из одиночных уголков при определении гибкости следует принимать по таблицам 27, 28 и 29",normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.2.4,СП 16.13330.2017 «Стальные конструкции»,10.2.4,,62,62,"Для определения расчетных длин раскосов по рисунку 15, в, при прикреплении их без фасонок к распорке и",normative,no,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.2.5,СП 16.13330.2017 «Стальные конструкции»,10.2.5,,62,65,Расчетные длины 10.1.1-10.1.3,normative,no,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3,СП 16.13330.2017 «Стальные конструкции»,10.3,,65,70,Расчетные длины колонн (стоек),normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.1,СП 16.13330.2017 «Стальные конструкции»,10.3.1,,65,65,Расчетные длины определять по формуле,normative,yes,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.2,СП 16.13330.2017 «Стальные конструкции»,10.3.2,,65,66,При определении коэффициентов расчетной длины колонн (стоек) значения продольных сил в элементах,normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.3,СП 16.13330.2017 «Стальные конструкции»,10.3.3,,66,66,Коэффициенты расчетной длины условий закрепления их концов и вида нагрузки. Для определенных схем закрепления концов и вида нагрузки значения,normative,no,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.4,СП 16.13330.2017 «Стальные конструкции»,10.3.4,,66,69,Коэффициенты расчетной длины m колонн постоянного сечения в плоскости свободных или несвободных рам,normative,yes,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.5,СП 16.13330.2017 «Стальные конструкции»,10.3.5,,69,69,"При отношении быть проверена общая устойчивость рамы в целом как составного стержня, защемленного в основании и свободного вверху",normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.6,СП 16.13330.2017 «Стальные конструкции»,10.3.6,,69,69,При неравномерном нагружении верхних узлов колонн в свободной одноэтажной раме и наличии жесткого,normative,yes,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.7,СП 16.13330.2017 «Стальные конструкции»,10.3.7,,69,69,"Коэффициенты расчетной длины определять согласно приложению И или на основе расчетной схемы, учитывающей фактические условия закрепления концов колонн с учетом 10.3.1 и 10.3.2",normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.8,СП 16.13330.2017 «Стальные конструкции»,10.3.8,,69,70,"Коэффициенты расчетной длины жесткого диска покрытия) и многоэтажных рам, при учете влияния характера деформирования системы под нагрузкой следует уменьшать умножением на коэффици…",normative,yes,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.9,СП 16.13330.2017 «Стальные конструкции»,10.3.9,,70,70,Расчетные длины колонн в направлении вдоль здания (из плоскости рамы) следует принимать равными,normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.10,СП 16.13330.2017 «Стальные конструкции»,10.3.10,,70,70,Расчетную длину ветвей плоских опор транспортерных галерей следует принимать равной в продольном направлении галереи - высоте опоры (от низа базы до оси нижнего пояса фермы или ба…,normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.3.11,СП 16.13330.2017 «Стальные конструкции»,10.3.11,,70,70,"Определение расчетных длин колонн (стоек), в т.ч. сжатых элементов пространственных решетчатых конструкций, с использованием сертифицированных программных вычислительных комплексо…",normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.4,СП 16.13330.2017 «Стальные конструкции»,10.4,,70,72,Предельные гибкости элементов,normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.4.1,СП 16.13330.2017 «Стальные конструкции»,10.4.1,,70,70,Гибкости элементов сжатых элементов и в таблице 33 - для растянутых,normative,no,yes,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
10.4.2,СП 16.13330.2017 «Стальные конструкции»,10.4.2,,70,72,"Для элементов конструкций, которые согласно приложению В относятся к группе 4 в зданиях и сооружениях",normative,no,no,no,implemented_selected_scope,Section 10 implemented in v0.12; external global-analysis and Annex И boundaries are explicit.
11,СП 16.13330.2017 «Стальные конструкции»,11,,72,77,Расчет листовых конструкций,normative,no,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.1,СП 16.13330.2017 «Стальные конструкции»,11.1,,72,74,Расчет на прочность,normative,no,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.1.1,СП 16.13330.2017 «Стальные конструкции»,11.1.1,,72,73,"Расчет на прочность листовых конструкций (оболочек вращения), находящихся в безмоментном напряженном",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.1.2,СП 16.13330.2017 «Стальные конструкции»,11.1.2,,73,73,"Напряжения в безмоментных тонкостенных оболочках вращения (рисунок 16), находящихся под давлением",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.1.3,СП 16.13330.2017 «Стальные конструкции»,11.1.3,,73,74,"Напряжения в замкнутых безмоментных тонкостенных оболочках вращения, находящихся под внутренним",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.1.4,СП 16.13330.2017 «Стальные конструкции»,11.1.4,,74,74,"При проверке прочности оболочек в местах изменения их формы или толщины, а также изменения нагрузки",normative,no,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.1.5,СП 16.13330.2017 «Стальные конструкции»,11.1.5,,74,74,Напряжения и усилия в оболочках любой конфигурации следует выполнять в соответствии с требованиями,normative,no,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2,СП 16.13330.2017 «Стальные конструкции»,11.2,,74,77,Расчет на устойчивость,normative,no,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.1,СП 16.13330.2017 «Стальные конструкции»,11.2.1,,74,75,"Расчет на устойчивость замкнутых круговых цилиндрических оболочек вращения, равномерно сжатых параллельно образующим, следует выполнять по формуле",normative,yes,yes,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.2,СП 16.13330.2017 «Стальные конструкции»,11.2.2,,75,75,"В трубах, рассчитываемых как сжатые или внецентренно сжатые стержни при условной гибкости",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.3,СП 16.13330.2017 «Стальные конструкции»,11.2.3,,75,75,"Цилиндрическая панель, опертая по двум образующим и двум дугам направляющей, равномерно сжатая вдоль",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.4,СП 16.13330.2017 «Стальные конструкции»,11.2.4,,75,76,"Расчет на устойчивость замкнутой круговой цилиндрической оболочки вращения, при действии внешнего",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.5,СП 16.13330.2017 «Стальные конструкции»,11.2.5,,76,76,"Расчет на устойчивость замкнутой круговой цилиндрической оболочки вращения одновременному действию нагрузок, указанных в 11.2.1 и 11.2.4, следует выполнять по формуле",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.6,СП 16.13330.2017 «Стальные конструкции»,11.2.6,,76,76,"Расчет на устойчивость конической оболочки вращения с углом конусности (рисунок 18), следует выполнять по формуле",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.7,СП 16.13330.2017 «Стальные конструкции»,11.2.7,,76,77,Расчет на устойчивость конической оболочки вращения при действии внешнего равномерного давления р,normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.8,СП 16.13330.2017 «Стальные конструкции»,11.2.8,,77,77,"Расчет на устойчивость конической оболочки вращения, подверженной одновременному действию нагрузок",normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
11.2.9,СП 16.13330.2017 «Стальные конструкции»,11.2.9,,77,77,Расчет на устойчивость полной сферической оболочки (или ее сегмента) при,normative,yes,no,no,calculation or executable procedure,Section 11 visually audited for v0.13. Implemented scalar formulas and table/procedure routing are mapped in implementation_map.csv; local edge effects and arbitrary spatial shell analysis remain explicit boundaries.
12,СП 16.13330.2017 «Стальные конструкции»,12,,77,79,Расчет элементов стальных конструкций на усталость,normative,no,no,no,calculation or executable procedure,Implemented in v0.14 with explicit SP 20.13330 and stress-history boundaries; Table K.1 classification remains explicit.
12.1,СП 16.13330.2017 «Стальные конструкции»,12.1,,77,79,Общие положения расчета,normative,no,no,no,calculation or executable procedure,Implemented in v0.14 with explicit SP 20.13330 and stress-history boundaries; Table K.1 classification remains explicit.
12.1.1,СП 16.13330.2017 «Стальные конструкции»,12.1.1,,77,77,"При проектировании стальных конструкций и их элементов (балки крановых путей, балки рабочих площадок",normative,no,no,no,calculation or executable procedure,Implemented in v0.14 with explicit SP 20.13330 and stress-history boundaries; Table K.1 classification remains explicit.
